shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
azōrǰī́d	azorjid													желудок, слепая кишка(?)		
azōrzā́	azorza													поле, где смешаны посевы различных сортов бобов и гороха		
azōyím	azoyim													отчитывание, заклинание		
azōyím čīdṓw	azoyim čidow													отчитывать, заговаривать, произносить заклинания	yi millṓ vā́rām, mu virṓd-ard azōyím kix̌t приведем муллу, пусть он заговорит моего брата	
azrát	azrat													величие, святость, святейшество (титул)		
azů́d	azud,azudand,azudandir,azudard	azů́dand, azů́dandīr, azů́dard												отсюда (о предметах дальних)		
ázzi	azzi													удовлетворение, довольство		
ázzi čīdṓw	azzi čidow													получить полное удовлетворение	biyṓr-um vud tar xidṓrǰ, ik-důnd pix̌t-um xūd didi, ázzi-m čūd вчера я был на мельнице и вволю поел там тутовой муки	
aγ	aγ,aγd,aγd,aγj,aγdow			aγd			aγd	aγǰ			aγdṓw			кричать (об осле)		
aγ̌ás	aγ̌as,aγ̌is,aγ̌uyd,aγ̌oyd,aγ̌ast,aγ̌ist,aγ̌ic,aγ̌astow,aγ̌iydow,aγ̌idow,aγ̌istow	aγ̌ī́s		aγ̌ū́yd	aγ̌ṓyd		aγ̌ást, aγ̌ī́st		aγ̌ī́c		aγ̌astṓw, aγ̌īydṓw, aγ̌īdṓw, aγ̌īstṓw			лежать (о скоте)		
aγ̌ếz	aγ̌ez,aγ̌ezd,aγ̌uyj			aγ̌ếzd				aγ̌ū́yǰ						уложить (скотину)		
aθếr	aθer,aθert			aθếrt										протягивать, передавать из рук в руки		
ba	ba													предлог, выражающий образ действия	ba yi mux̌kíl (qatí) с трудом; ba yi ðêd at wiʒíd (qat́í), ba yi ǰáng-at wēðd (qatí) со скандалом; ba šīnt-šī́ntaθ со смехом; ba bat-qārê-θ c гневом, яростно, злобно; ba bōdurí геройски, по-богатырски; выражает также направление; ba ǰumbáx̌ vīdṓw приводить в движение; ba alōkát vīdṓw привести к гибели; ba dast vīdṓw прибрать к рукам, заполучить; ba āǰ sitṓw отправляться в паломничество; широко употребляется также в заимствованных речениях; c от края до края	
bā	ba													поцелуй		
ba čīdṓw	ba čidow													целовать	yi bā́-yum áram wi čūd я его там разок поцеловала; mu nā́n-at mu tā́t-ēn wi čōrík ðust bā čūd моя мать и мой отец поцеловали руки тому человеку	
ba dast vīdṓw	ba dast vidow													прибрать к рукам, заполучить, овладеть, завладеть		
ba gulbṓng	ba gulbong,ba gulbung	ba gulbů́ng												на призыв, на зов	ba gulbů́ngi xu mā-šūq tūyd он отправился на призыв своей возлюбленной	
ba kux̌tā́ čīdṓw	ba kuxta čidow													перебить, убить, причинить смерть	lap awɣůn sipōyí ba kux̌tā́-yi čūd он перебил много афганских солдат	
ba pīr	ba pir													клянусь пиром (наставником)	ba xudṓ ей-богу; ba imů́m (= i zamůn) клянусь имамом	
ba rū́yi	ba ruyi													для, на		
ba γayr as	ba γayr as													кроме		
ba γáyri	ba γayri,γayri,ba γayr as,ba γayr as	γáyri, ba γayr as,  ba γayr as												кроме, помимо, сверх	γáyri tu кроме тебя; ba γáyri yi rizḗn ẃínd ziryṓt-ga na vud кроме одной дочери, у него не было больше детей; a-rō, mund ba γayr as tu yi-yōr nist друг, у меня кроме тебя никого нет	
ba-adáb	ba-adab													вежливый, воспитанный, учтивый, деликатный		
ba-alōlí	ba-aloli													добросовестно	yu xu kor ba-alōlí na kix̌t он добросовестно не работает	
ba-áqli	ba-aqli													умный, рассудительный, разумный		
ba-áwǰ	ba-awj													с увлечением, с жаром, с энтузиазмом, с интересом	sōzindayḗn ba-áwǰ lů́vēn певцы поют с увлечением; xu kōr ba-áwǰ kinā́m мы работаем с энтузиазмом	
ba-barakát	ba-barakat													благословенный, удачливый, праведный		
ba-darraw	ba-darraw,ba-daraw	ba-daraw												пошли! двинулись! марш! айда! в путь!	andṓyd-ēn xu, ba-dārraw! они встали и в путь!	
ba-díl	ba-dil													по сердцу		
ba-dil čīdṓw	ba-dil čidow													послушаться	wúz-um wi ba-díl na čūd я его не послушался; fíkri kinúm didi, či ba-dil kinúm я думаю, кого мне послушаться	
ba-dilā́	ba-dila													в сочетании xu ba-dilā́ медленно, не спеша, неторопливо		
ba-diqát	ba-diqat													внимательно		 (нов.)
ba-gumů́n	ba-gumun													предположительно	wuz yik-di kōr tāyī́n nawzů́num, ámmō bu-gumů́n lů́vum я не знаю этого достоверно, а говорю предположительно	
ba-ǰṓy čīdṓw	ba-joy čidow,ba-joy vidow	 ba-ǰṓy vīdṓw												выполнять, исполнять		
ba-ǰṓy sitṓw	ba-joy sitow													выполняться, исполняться		
bā-lāǰā́	ba-laja													красноречиво, выразительно, с выражением	dam sṓz-i xub ba-lāǰā́ lůd он c большим выражением спел эту песню	
ba-lṓγaθ	ba-loγaθ													шутя, в шутку		
ba-marwát	ba-marwat													осторожно, внимательно, тщательно	ba-marwát kōr čīdṓw внимательно работать	
ba-mazā́	ba-maza													вкусный, смачный, пикантный		
ba-mếr	ba-mer													милосердный, добрый, добросердечный	yu bašā́nd, ba-mếr ōdám он хороший, добрый человек	
ba-mísli	ba-misli													подобно, вроде, наподобие, как-то		
ba-nṓkāfand	ba-nokafand													вдруг, внезапно, неожиданно		 (= bēxilī́waθ)
ba-parðā́	ba-parða													скромный, порядочный, честный, совестливый, сдержанный, нравственный	yu ba-parðā́ ōdám он порядочный человек	
ba-quwát	ba-quwat													сильный		
ba-quwát sittṓw	ba-quwat sittow													окрепнуть, выздороветь		
ba-raṓt	ba-raot													удобный, с комфортом, спокойно	nur xā́b-um lap ba-raṓt x̌ōvd эту ночь я очень хорошо спал; núr-um wuz ba-raṓt jṓ-ndīr vud я сегодня был в очень приятном месте	
ba-rawáx̌	ba-rawax													толковый, дельный	x̌êydṓw tir ba-rawáx̌ atā, nivištṓw áčaθ na vā́r-ðēd в чтении он мастер, но писать совсем не умеет; yu ba-rawáx̌ rāng ōdam! он толковый человек!	
ba-rṓst	ba-rost													напротив	tar sur-um sut, yā mu γac mu ba-rṓst vad я пошел на свадьбу, та девушка была (сидела) напротив меня	
ba-rūyi	ba-ruyi													для, на	mārg ba-rūyi zimistůn смерть зиме! (да сгинет зима!)	
ba-samár	ba-samar													зрелый, достигший расцвета	pi dēv gulēn mā raf, dāð lāk ba-samár frāpēn не трогай этих цветов, пусть они распустятся как следует	
ba-sēr sittṓw	ba-ser sittow													пресытиться, получить отвращение	as wēv jůn-um ba-sēr sut они мне надоели (я пресытился ими)	
ba-sū́z	ba-suz													пылко, пламенно, всласть, с жаром, с чувством, с увлечением	ba-sū́zaθ x̌ac birṓx̌t! я всласть напился воды! wúz-um nur ba-sū́zaθ kōr čūd сегодня я с увлечением работал; ba-sū́zaθ lův! говори с чувством!	
ba-tifṓq	ba-tifoq,ba-tifoqi,ba-tifoqaθ	ba-tifōqí, ba-tifṓqaθ												дружно, дружелюбно, согласно, в единении	sēt ba-tifōqí xu kōr kinḗt идите и дружно работайте	
ba-ux̌ yattṓw	ba-ux yattow													очнуться, прийти в чувство, прийти в себя	wúz-um bḗ-ux̌ sut, yi mēθ tī́r-um ba-ux̌ yat я упал без чувств и только через день пришел в себя	
ba-wafṓ	ba-wafo													верный, преданный		(= wafōdṓr)
Ba-waxdí	Ba-waxdi,Ba-waxtdi	Ba-waxtdí												скорее	ba waxdí ik-di kōr kinā́m, yid lap zarū́r поскорее сделаем эту работу, эта очень нужно	
ba-xud yatṓw	ba-xud yatow,ba-xud sitow	ba-xud sitṓw												прийти в себя, очнуться		
ba-xudṓ	ba-xudo													ей-богу!		
ba-yṓð	ba-yoð													в памяти	mu ba-yṓð ca rēðǰ что я помню (что осталось у меня в памяти); šíč mu ba-yṓð yast теперь я припоминаю; māš bōyád wasīyatḗní Lḗnin xu ba-yṓð anǰā́vām мы должны твердо помнить заветы Ленина	
ba-yōð ðêdṓw	ba-yoð ðedow													припоминаться	mu kūdakí šič mu ba-yṓð ca ðēd, mu zōrð ðůn rā́ng-ti ǰiráγd теперь, когда мне припоминается мое детство, мое сердце вздрагивает, как поджаренная пшеница	
ba-yōδ anǰīvdṓw	ba-yoδ anjivdow													запоминать, удерживать в памяти		
ba-zḗb	ba-zeb													красивый, изящный		
ba-zūdí	ba-zudi													быстро	xu kōr ba-zūdí kinā́m быстро сделаем свое дело	
ba-zū́r	ba-zur,ba-zuraθ	ba-zū́raθ												силою, насильно		
bábri	babri													тигр		
bā́č kāč	bač kač,bač-at kač	bā́č-at kāč												дети, семья	xu bā́č-at-kāč qatī́r со своим семейством	
bačā́	bača,bačča,bačen	 baččā́										bačḗn		дитя, ребенок, мальчик, сын		
bača-zī́d	bača-zid													детоубийство		
bačagí	bačagi,bačgi	bačgí												ребячество		
bačamárd	bačamard													молодой человек		
bačazā́n	bačazan													молодая женщина		
bačgalā́	bačgala,bajgala,bačgalayen	baǰgalā́										bačgalayḗn		детвора, ребятишки, ребята	ʒalík bačgalā́ mis xu qat́í yṓsēn берут с собой также маленьких детей	
bad	bad													злой, дурной		
bād	bad,bad as,badi	bād as, bā́di												после, потом, затем, через	bād as cavṓr sōl через четыре года; as ara-cavṓr meθ bād yak bōr раз в три-четыре дня; bādi pīnʒ mēθ через пять дней; bā́di wi после этого	
bād az ůn	bad az un													после того, затем; кроме того, сверх того		(нов.)
bad-gumů́n	bad-gumun													подозрительный, подозревающий, недоверчивый	as wi bad-gumůndí yi yṓraθ nist никого нет более подозрительного, чем он	
bad-ixlōqí	bad-ixloqi													злонравие, неблагонравие, порочность		
bad-kōrí	bad-kori													дурное поведение, дурной поступок		
badā́l-andi	badal-andi,badal-and	badā́l-and												взамен	ya wam vaz badál-andi maγ̌ dāk čūd он взамен той козы дал овцу	
Badax̌xů́n	Badaxxun													Бадахшан		
badbáxt	badbaxt													несчастный, злосчастный, неудачник; негодник		
badbū́y	badbuy													вонючий, зловонный		
badfếl	badfel													норовистый, злонравный, зловредный 	yi badfếl vêrʒ vo mā́šand ca ām pirḗnt, ām bispā́r ðīd у нас опять такая норовистая кобыла, что и кусается и лягается	(=gandafêl)
badgī́r	badgir													не подпускающий к себе (о лошади)	mu vōrǰ yik-dů́nd bad- gī́ridil моя лошадь с таким трудом подпускает к себе!	
badgumůní	badgumuni													подозрительность, подозрение, недоверие, недоверчивость	as di tund čīz badgumůní? в чем y тебя на него подозрение? badgumůní čīdṓw подозревать, недоверять	
badgū́y	badguy													хулитель, злоречивый, злоязычный		
badí	badi													зло		
badqā́r	badqar,batqar	batqā́r												злой, вспыльчивый, раздражительный		
badqārí	badqari,batqari	batqári												гнев, ярость, злоба		
bāf	baf,bift,boft			bīft			bōft							быть возможным, быть в состоянии, мочь		1 ед. bā́fum
bājīb	bajib,bajibak	bājībák												ложечка для тутовой муки		
Baǰū́	Baju													Баджу		
Baǰū́ pastḗv	Baju pastev													выселок на берегу Пянджа		
bakál	bakal													телка		
bakál	bakal													телка полутора-двух лет		
bakṓr	bakor,bakori	bakōrí												необходимый, нужный	wēv bakōrí čīzḗn необходимые им вещи	
baks	baks,bakc	bakc												бумажник, кошелек 		(-puldůnák)
balád	balad													знающий, осведомленный, знакомый		
balád čīdṓw	balad čidow													ознакомить, познакомить		
balád sīttṓw	balad sittow													ознакомиться, познакомиться	mu tāt qatī́r balád sut (он) познакомился с моим отцом	
balánd	baland,biland	bilánd												высокий		
balandí	balandi,bilandi	bilandí												возвышение, повышение, высота		
bále	bale,bali	báli												да! правильно! верно! (одобрение)	báli, rṓst-at lůd! верно! ты говорил правду!	(высокопарно)
Balǰuwů́n	Baljuwun													Бальджуан		
bálki	balki													но, однако		
balṓ	balo													беда, напасть, несчастье		
balōgarí	balogari													зловредность, низость, подлость		
balšawī́k	balšawik													большевик		 (нов.)
balxi-dṓrx̌	balxi-dorx													род тесла		
balγōčēvák	balγočevak													щекотание		
bānā́	bana													предлог, повод (вымышленный)		
band	band													арест, задержание, арестованный, задержанный	yu nālá band говорят, он арестован	
bānd	band													повязка, завязка, веревка; сустав		
band čīdṓw	band čidow													арестовать, задержать, заключить в тюрьму		
bānd čīdṓw	band čidow													успокоить, утихомирить	yi bēγaráz ōdám yōðd xu, wēv ðêd bānd kix̌t подходит один незаинтересованный человек и унимает их спор	
bānd ðêdṓw	band ðedow													привязать, завязать		
bandā́	banda													заложенный		
bandā́	banda													раб, слуга, подвластный		
bandā́ čīdṓw	banda čidow													заложить	fúk-aθ bandā́ čūd xu, māš kūdakḗn-ām xu nān qatí mṓyi rā́ng-ti bar sángi sangṓv rēd он все перезаложил, и мы, дети, со своей матерью остались, как рыба на мели; mu tāt xu zamī́n-at mṓli xůnā́-yi xu qārʒdōrḗn-ard bandā́ čūd мой отец заложил своим кредиторам всю землю и все домашнее имущество	
banda-zṓd	banda-zod													род человеческий, люди, смертные		
bandák	bandak													завязка	pō-bandák, das-bandák детские свивальники; ōš-bandák заедка, хлеб к похлебке	
bandí	bandi													арестованный, заключенный, пленник, узник		
bandí čīdṓw	bandi čidow													арестовать, взять в плен		
bándi dast	bandi dast													кисть руки		
bándi dast	bandi dast													кисть руки		
bándi ku	bandi ku													вершина горы 		(=sári ku)
bandů́n	bandun													запертый, арестованный, заключенный	mu kāfx̌ pōx̌nā́ wêx̌č xu, ðu mēθ-andī́r-um pi čī́d- and bandů́n suðǰ у моих башмаков отвалился каблук, и я два дня был заперт дома	
bang	bang													гашиш, банг		
bangí	bangi													наркоман, курящий гашиш		
baq γāc	baq γac													невысокая девушка		
bar	bar													прямо! (понукание правому быку во время пахоты, если он отклонится в сторону)		
bar	bar													грудь	wi bar firṓx у нее широкая грудь (о лошади)	
bar	bar													склон горы	bar tar bar по склонам гор, с горы на гору; wēv naxčīrḗn wi bar-ard čis посмотри на козлов на том склоне горы	 (= pux̌tā́)
bar	bar													на, над	ōfarī́n bar... хвала (кому-либо); bar māš nazár ki взгляни на нас; bar māš rām kin умилосердись над нами; bar-ǰṓy на месте; bar-sári yatṓw начинать; wi virōdārén ar-rā́ng ca bar wi čūd его братья что-нибудь учинили над ним; выражает сравнение; wúz-um bar wi sust nax̌tū́yd я оказался слабее его	 (преимущественно в заимствов. сочетаниях)
bār	bar													верх, верхний		
bār ðêdṓw	bar ðedow													толкать(ся)	ik-důnd bār-ðāðī́ǰ yu γiðā́ yást idi... этот мальчишка всегда так толкается, что..	
bar-bṓð	bar-boð													на ветер, по ветру		
bar-bṓð čīdṓw	bar-boð čidow													пустить по ветру, развеять, уронить, растратить, погубить		
bar-bṓð sittṓw	bar-boð sittow													пойти прахом, развеяться, упасть, погибнуть, растратиться		
bar-bṓδ	bar-boδ													на ветер, по ветру		
bār-ðêdák	bar-ðedak													взаимные толчки, переталкивание	bār-ðêdák-ēn čūd xu, bā́d-ēn ðêd sat они сначала толкались, а потом принялись драться	
bar-durū́γ	bar-duruγ													ложно, лживо		
bar-jṓy	bar-joy													на место, на свое место; прочно, твердо		
bar-ǰṓy sittṓw	bar-joy sittow													остаться на месте, осесть, остановиться, поселиться	ik-ámard bar-ǰṓy sut там он и поселился	
bār-nêx	bar-nex													главная, почетная часть нар против очага		
bar-pṓ čīdṓw	bar-po čidow													основать, устроить, создать, воздвигнуть		
bar-sári yattṓw	bar-sari yattow													начать, приступить к	yat bar-sári zêx̌tṓw начал брать (накладывать), приступил к накладыванию; yat-um bar-sári čīdṓw я приступил к началу работы	
bar-têpčák	bar-tepčak													закрученный, запутанный	yam wūrγ̌ bar-têpčák эта нитка запутана; wi-nd wi kōr lap bar-têpčák дела у него очень запутаны	
Bār-Xaráγ	Bar-Xaraγ													Бар-Хорог (Верхний Хорог)		
bārā́	bara													урожай, плоды	yam mu mūn asī́d bārā́ na ðṓd-i в этом году эта моя яблоня не дала урожаю; as xu mūn bārā́-ndi-yum xurd pūl čūd я выручил деньги от продажи урожая своих яблок	
barakallṓ	barakallo													благословен бог! да благословится! бог помощь! (возглас похвалы и одобрения, пожелание удачи в работе)	agár yi ōdám sêr ca zếzd-at, yí-ga ōdám tar wi sêr zêzī́j xēz ca yōðd, dað salů́m kix̌t xu lůvd barakallṓ если кто-нибудь собирает умолот, а другой подойдет, так он поздоровается и скажет: „да благословится!“	
barakát	barakat													благословение		
barakát-bāx̌t	barakat-baxt													благословение, благопожелание		
barakát-bāx̌t čīdṓw	barakat-baxt čidow													благословлять, высказывать благопожелания	"mūysafēdḗn barakát-bāx̌t lap kinḗn, masalán lů́ven: „xuðṓyi tu jůn azṓr ǰun kix̌t!"" — yō: „xuðṓy, bašā́nd puc turd ðīd!“ „старики высказывают много благожеланий, например, говорят: „пусть бог даст тебе тысячу жизней!""— или: „пусть бог даст тебе хорошего сына!"""	
barakatdṓr	barakatdor													удачливый, счастливый		(= nafasdṓr)
barakatí	barakati													благословенный, благословенность		
barám čīdṓw	baram čidow													отрывать, разрывать, откапывать, раскапывать	dam žīr barám kin раскопай этот камень; di čō barám kin разрой эту яму; dewṓl barám mā kil не разрывай (не осыпай) стену!	
bardṓx̌t	bardoxt													выносливость, терпение		(=toqát)
bardóx̌t čīdṓw	bardoxt čidow													выносить, терпеть	ōdám ar x̌ac γůt xu ca ðīd, lap bardṓx̌t čīdṓw na vār-ðḗd если человек погрузится в воду, то не сможет долго выдержать	
barfṓb	barfob													обвал, лавина		
barg	barg,bark	bark												лист		(поэтич.) (= park)
barkáx̌	barkax													вес, мера веса		
barkax̌ čīdṓw	barkax čidow													измерять вес, взвешивать, весить		
barmā́y	barmay													сверло		
barmā́y ðêdṓw	barmay ðedow													сверлить		
barōbár	barobar													одинаковый, равный, точный; как раз, точь-в-точь, поровну	māš úmri barōbár sut уже полжизни нашей прошло (жизнь поровну разделилась); taxmīnán barōbári yi mētr yast приблизительно равен одному метру	
barōbár wīz	barobar wiz													горизонтальный вьюк, в длину перпендикулярный туловищу носильщика 		(в противоположность cuq wīz)
barōbar-x̌āb	barobar-xab													полночь	tō barōbar-x̌ā́bēc до полуночи	
barq	barq													молния		(нов.)
Bārtā́ng	Bartang													Бартанг		река
Barvṓz	Barvoz													селение в Шахдаре		
barzangí	barzangi													барзанги — злой дух, фантастическое чудовище, подобное диву, великан, гигант, рослый, дородный	yu dēw barzangí yat ar parí xēz тот див-барзанги подошел к пэри; tu virṓd ar-rā́ng barzangí ca! твой брат настоящий великан!	
barzīn	barzin													обертка, оболочка		
barzīn čīdṓw	barzin čidow													заворачивать, обматывать		
barzīnák	barzinak													обвивание, извивание		
barzīnák čīdṓw	barzinak čidow													навивать, обвивать	wūrγ̌-um as xu nān parǰūvd xu, bā́d-um čūd wi sêx-ard barzīnák я взял у свое матери шерстяную нитку и навил её на спицу; yíšqi pēǰůn-ta ðṓrg-ard barzīnák sůd плющ вьётся вокруг шеста	
barzīnák sittṓw	barzinak sittow													извиваться, виться		
barγā́	barγa													толчок		
barγā́ čīdṓw	barγa čidow													толкать		
barγā́ ðêdṓw	barγa ðedow													толкать	diví barγā́ ðōd xu, dēd он толкнул дверь и вошел	
barγadáx	barγadax													толчки (взаимные), толкание		
bās	bas													довольно, достаточно		
bās čīdṓw	bas čidow													перестать, прекратить	turd mis bās! довольно тебе!	
bās ðêdṓw	bas ðedow													справиться, смочь, одолеть	wuz di vōrǰ bās ðíyum я справлюсь с этой лошадью; wuz di kōr bās ðíyum я это смогу	
bās ðêrtṓw	bas ðertow													справиться, овладеть; вынести, вытерпеть	wuz di bās ðếrum я с этим справлюсь; wuz nazī́r-and wi bās ðếrum я допускаю (терплю) шутки; wuz dam žīr(-and dam) bās ðếrum я справлюсь с этим камнем	
bašā́nd	bašand													хороший, добрый		
bašā́nd čīdṓw	bašand čidow													улучшать		
bašā́nd-bůy	bašand-buy,xuš-buy	xuš-bůy												ароматный, душистый	bašā́nd-bůy gul ароматный цветок; wi gúl-and lap bůy y этого цветка сильный запах; yu gul lap xuš-bůy тот цветок хорошо пахнет;	
bašāndí	bašandi													благо, добро, доброта		
basí	basi													достаточность		
basí čīdṓw	basi čidow													быть достаточным		
bast	bast													участок; доля; норма, порция	ar čāy xu bast tayṓr ca kix̌t sůd, tīzd кто отработает свою долю, тот уходит	
bat	bat													грудь, пазуха, объятия	pi bat ðêdṓw обнимать, брать за пазуху; gaǰḗn kinúm xu pi bat козлят я беру за пазуху	
bāt	bat													каша, кисель	marůb-bat кисель на сливках	
batabṓ	batabo													разорение, упадок, крайняя затруднительность	falůní-nd wi (h)ōl as bēpūlí batabṓ yaθč положение такого-то от безденежья пришло в полный упадок	
batrak	batrak													батрак		 (нов.)
bāx̌	bax													доля, раздел, участь, судьба		
bāx̌ čīdṓw	bax čidow													делить, распределять		
bax-bůst	bax-bust													свадебное подношение		
baxī́l	baxil													скупой		
baxmál	baxmal													бархат		
baxmalín	baxmalin													бархатный		
baxt	baxt													судьба, счастье, доля, удел		
bax̌xíx̌	baxxix													прощение, извинение		
bax̌xíx̌ čīdṓw	baxxix čidow													прощать		
bay	bay													цена	tu vōrǰ bay cůnd? какая цена твоей лошади? mu vōrǰ bay dusad sům цепа моей лошади двести рублей	
bayelā́	bayela													еле-еле, чуть-чуть, немножко, почти	bayēlā́-yi yů́dand nūst xu, vō tūyd он побыл здесь немножко и ушел; bayēlā́θ-i garðā́ xūd xu, vṓ-yi bās cūd он съел немножко хлеба и перестал; xu kitṓb-ām bayelā́ čí tayṓr čīd мы кончаем свою книгу; wúz-um bayēlā́ čí-x̌ac na sut я чуть было не попал в воду	
bayēlā́ ðêdṓw	bayela ðedow													стремительно броситься, устремиться (с радостью)	wi dōd bayēlā́ tar wi ðōd его отец стремительно бросился к нему; bayēlā́ tar xu nān ðōd он стремительно бросился к своей матери; as maγʒůnǰí yu bayēlā́ tar garðā́ ðōd от голода он с жадностью набросился на хлеб	
baynulmillál	baynulmillal													интернационал		(нов.)
bayráq	bayraq													знамя, флаг		
bayt-lůvd	bayt-luvd													очень много, видимо-невидимо, масса	tar bōzṓr angū́rð bayt-lůvd на рынке масса винограду (= bōzṓr-and angū́rð ik-důnd lap didi, áčaθ na bōft на рынке такая масса винограду, что мочи нет)	
bazdál	bazdal													запутанный, спутанный		
bazdál čīdṓw	bazdal čidow													скручивать, закручивать, обвивать	dam vāx̌ dam sitán-ard bazdál kin обвей эту веревку вокруг столба	
bā́zi	bazi													некоторые, несколько	bā́zi ōdám некоторые люди; bā́- zi čīzḗn некоторые вещи; bā́zi waxt иногда	
bazm	bazm													пир, пиршество		
bazm čīdṓw	bazm čidow													пировать		
bāγ	baγ,baγd,baγd,baγj,baγdow			bāγd			bāγd	bāγǰ			bāγdṓw			жужжать		
baγḗr	baγer													наверно, должно быть, конечно, только, пожалуй		
baγit	baγit													завистливый, зловредный		
baγγānák	baγγanak													название жужжащего насекомого;жучок, жук-точильщик; 	baγγānák mis civī́nc dastū́r, ámmō baγγānák zalál lapdí firếpt, masalán baγγānák as ðōrg xīrt, as sitán xīrt, bād yā sitán sůd sust xu maalā́ čuk ðēd „baγγānák“ похож на осу, но приносит больше вреда: он поедает дерево, столбы, и тогда столбы становятся трухлявыми и дом разрушается	
baγγást	baγγast													жужжание жука		
baγγast čīdṓw	baγγast čidow													жужжать		
bē	be													без	bē tu без тебя	очень употребителен как словообразующий префикс
bē-ād	be-ad													безграничный		
bē-adáb	be-adab													невежливый, грубый		
bē-adabí	be-adabi													невежливость, дерзость, грубость		
bē-adabí čīdṓw	be-adabi čidow													грубить, дерзить		
bē-aqlí	be-aqli,be-aqligari	bē-aqligarí												глупость		
bē-áqli	be-aqli,beaqliyen											bēaqliyḗn		глупый, глупец		
bē-áyb	be-ayb													безвинный, невинный, невиновный		
bē-aybí	be-aybi													невинность, невиновность		
bē-bačā́	be-bača													бездетный		
be-bārā́	be-bara													бесплодный		
bē-barakát	be-barakat													неудачник, неудачливый		
be-barakatí	be-barakati													неудачливость, невезение		
bē-bēlát	be-belat													безбилетный, беспаспортный		
bē-bů́n	be-bun													безбородый		
bē-čṓr	be-čor													незамужняя, вдова		
bē-dastā́	be-dasta													безрукий, без ручки (о предметах)		
bē-dṓd	be-dod													без отца, лишенный отца; невоспитанный, дурно воспитанный, не умеющий себя держать	aǰáb bē-dṓd-at tu nay! как ты невоспитан!	
bē-ðū́d	be-ðud													бездымный		
bē-duqát	be-duqat													беззаботный, легкомысленный, не задумывающийся	bē-duqát ōdám беззаботный человек	
bē-farzánd	be-farzand													бездетный		
bē-firix̌tā́	be-firixta													бесцеремонный, беззастенчивый, наглый, нахальный,грубый, дерзкий	falůní lap xa-núk-rū́y-at, bē-firix̌tā-t, bē-mếr он очень наглый, беззастенчивый и грубый	
bē-firqā́	be-firqa													беспартийный		(нов.)
bē-fōydā́	be-foyda													бесполезный, безрезультатный, напрасный, невыгодный		
bē-ginṓ	be-gino,be-guno	bē-gunṓ												невинный, невиновный		
bē-hasṓb	be-hasob,be-hasob	bē-hasṓb												бесчисленный, неисчислимый		
be-ílm	be-ilm,be-yilm	be-yílm												необразованный		
bē-insṓf	be-insof													бессовестный, бесстыжий, несправедливый; недобросовестный		
bē-ištiyṓ	be-ištiyo													неохота, отсутствие аппетита, вялость настроения	núr-um wuz bē-ištiyṓ я сегодня не в настроении	
bē-ǰád	be-jad													неправедный, бесчестный, бессовестный	wēv mardúm-and wēv pīr bē-ǰád! У них пир (наставник, духовный руководитель) неправедный! (ругательство)	
bē-ǰṓy	be-joy													без места; неуместный		
bē-ǰů́n	be-jun													безжизненный, мертвый		
bē-kamár	be-kamar													тощий, заморенный, заморыш (о лошади)	"vṓrǰ-an ʒulík qīč ca vēd, lů́vēn: „aǰáb bē-ka-már vōrǰ nāy!“ если у лошади очень маленькое брюхо, говорят: „что за удивительный заморыш!"""	
bē-kūdák	be-kudak													бездетный		
bē-mếr	be-mer													жестокий, безжалостный		
bē-ōbrū́y	be-obruy													бесстыдный, бесстыжий, беззастенчивый	"aǰāb bē-ōb- rū́y ōdám yu nāy, cůnd wi lům: „nax̌tí as mu čī́d-and!“ — yu na nax̌tī́zd он удивительно беззастенчив, сколько я ему ни говорю: „уходи из моего дома!"" — он не уходит"	
bē-parwṓ	be-parwo													беспечный, беззаботный		
be-paysā́	be-paysa													безденежный, без копейки денег		
bē-pī́r	be-pir													не имеющий пира (наставника, духовного руководителя) бессовестный, негодяй (ругательство)		
be-pū́l	be-pul													неимущий, безденежный		
bē-quwát	be-quwat													бессильный, слабосильный		
bē-rā́m	be-ram													безжалостный, жестокий		
bē-rū́y	be-ruy													наглый, нахальный, дерзкий		
bē-sabū́r-gulák	be-sabur-gulak													бесстыжий, бессовестный, наглый	yā ík-důnd bē-x̌árm-at bē-sabū́r-gulák yast didi, dalīl-aθ nist! она так бессовестна и бесстыжа, что и представить нельзя!	
bē-sār	be-sar													своевольный, взбалмошный		
bē-sawṓd	be-sawod,be-sawot,be-sowot	bē-sawṓt, bē-sōwṓt												неграмотный		
bē-tartī́b	be-tartib													беспорядочный, безалаберный		
bē-tōlí	be-toli													несчастный, неудачник	a-rō, falůní ik-důnd bē-tōlí didi, yi vaz mis wind ca vad, wám-i mis wūrǰ xūd он такой неудачник, что даже единственную козу, которая у него была, и ту съел волк	
bē-úx̌	be-ux,bewux	bēwúx̌												без памяти, без сознания, без чувств; беспамятный		
bē-ux̌ sittṓw	be-ux sittow													лишиться чувств, упасть в обморок, потерять сознание		
bē-wafṓ	be-wafo													неверный, непостоянный, вероломный		
bē-wếx	be-wex													разоренный, расстроенный, без опоры		
bē-wếx čīdṓw	be-wex čidow													разорить	mú-yēn duzdḗn bē-wếx čůd грабители меня разорили	
bē-xabár	be-xabar													неосведомленный, безвестный		
bē-xṓb	be-xob													без сна, бессонный	mam rāng x̌ā́b-and-um bē-xōb в такие ночи я без сна	(поэтич.)
be-x̌ṓǰ	be-xoj													бесстрашный, отважный		
