rus	shughni	bajuv	shakhdari	barvaz	gender	comment	collocation_rus
исправленный	обод						
исправный	соз, обод						
испражнение	ɣаθ, риш				м		
испражняться	шарð:шуx̌т						
испугавшийся	суй-суй; x̌оjаjин						
испускание газов	жидẙраст, шитараст				м		
испытывать	ðêр:ðӯйд						
испытывать	страх x̌оj ðêртоw						
испытывать радость	хуши ч. (кин)						
испытывающий жажду	туx̌нā						
истец	доðгāр				м/ж		
истечение	срока баргаx̌т; наɣ̌jӣðjак						
истина	рост, аq, аqêqат						
истинность	ростӣ, саjарот				м		
истинный	рост, аqêqи						
исток	саргā				м		
истопник	йоц пиðинӣj, алоwгāр						
историк	тāрӣхшинос						
исторический	тāрӣхи						
история	тāрӣх				м/ж		
источник	чаx̌мā				ж		
истощаться	риwойс:риwêйд						
истощение	лошаги, хароби				м		
истощенный	облок, лайог; хароб						
истребление	нобӯд						
истрепавшийся	пилцоx̌ак						
истукан	бут, ш. андêɣ 	индêɣ					
истязание	таллоб				м		
истязатель	таллоб-ðāðӣj						
исход	пӣн(ак)				м		
исхудалый	харобā, харобаки						
исчезновение	θӣмов, рафай						
исчезнувший	x̌иqӣмбов, бедарак						
исчерпывающий	мукамал						
итог	натӣjā, jамбаст				м		
итого	jами, jамул-jам						
их	wев, дев, мев						
ичиги	мāси						
ишкашимец	ишкошуми, шикошуми						
каблук	поx̌нā				м		
кабоб	кабоб, сêд-ризӣн				м		
каждодневный	ар-меθā						
каждый	ар-чидẙм, ар-чāй, ар-тāм, ар, сари						
казий	qози				м		
казна	хазӣнā ж, ш. ɣазнā						
казнокрадство	пӯлдузди				м		
кайма	фароwез/ʒ				м		
какад	риɣ̌ẙв(ак)				ж		
каким образом	ца-рāнг, чигӯнā(гард), ца-wахтӣнj						
каков	ца-рāнгин						
какого	рода чӣзин, чигӯнагард						
какого рода	чӣзин, чигӯн-агард						
каламбур	назӣр				м/ж		
каланча	очи маq-маq						
календарь	солнẙмā, калиндāр				ж		
каленый	доɣ-чӯɣ̌jин, пухтā						
калым	куx̌м-ат калӣнг				м		
кальян	чилим				ж		
каменка	садаф-гāлак						
каменный	жӣрин						
каменотес	жӣр-вираɣӣj	жӣр-вираwӣj					
каменщик	деwолгāр						
камешек	рег(ак), регич				ж		
камзол	камзӯл				м		
камнепад	чархā				м		
канава	wêð(цак), риwоj				ж		
канавка	wêðак ж, x̌ац-мӯри м/ж						
каналья	падарqисӯр, падарсӯхтā						
канат	вāx̌				ж		
кандалы	заwлẙнā						
кандидат	нẙмзад						
кандидатура	нẙмзад						
кант	шерози				м		
капанье	чакак				м		
капающий	чакакин						
капель	чакак чикч				м		
капелька	qатрā м, чибак ж						
капиталистический	сармойадори						
капитуляция	таслӣм				м		
капкан	пêð(ак), qапqен				ж		
капля	аwеj				м		
капризница	фирɣ̌ӣj, нāwӣj						
капризы	баднози				м		
капуста	карам				м		
карабкаться	чарjафц:чарjифт						
караван	корwẙн						
караван-сарай	корwẙнсарой				м/ж		
караван-сарай	корwẙн-сарой				м/ж		
караванщик	корwẙн-боши				м		
каракурт	ɣандāл				ж		
караульщик	бозорбẙн, чӣдбẙн, x̌êðбẙн						
карбос	x̌иwӣнч				м		
кариозный зуб	чӣрм-хӯɣ̌зив						
карлик	бижɣут м, лẙрθ						
карман	jебак				м		
карнай	карнāй, сурнāй				м		
карта	харӣтā				ж		
картавый	нӣм-тӣрак						
картинка	сӯратдор				м		
картон	картẙн						
каса	косā, jойгā				м		
касание	лах-миðêд						
касательство	тāлуq				м		
кастрированный	ахтā						
кастрюлька	дектола(ак), кастирӯл				ж		
катание	лӣжбози				м	(на лыжах)	
категорически	рунд-аθ						
категория	хел						
катушка	милӯт(ак), нечā				м		
кафедра	минбāр, мумбар				м		
кафир	кофар						
кафч	кāфч				м	(мера сыпучих тел)	
кафчак	кāфчак				м/ж	(род мешка)	
кафш	кāфx̌, кāx̌				м		
качаться	лаq: лаqт, wуц: wуцт						
качающий	ɣẙкбẙн, ниx̌êӣj						
качающийся	калагат						
качаясь	лаqẙн(чак)						
качели	wулчāк						
качественно	алол						
кашгарский	qошqар(и)						
кашель	кехак, саqаw				м		
кашлять	кêх:кêхт						
кашляющий	wухāн						
кающийся	x̌емẙн						
кваканье	бурбур						
квакать	бур:бурт						
квартира	мāлā м, кивāртира м/ж						
кварц	алмос(жӣр)				ж		
квасить	нимêð:нимêðд						
квасцы	зāмч				м		
квашня	хамер						
кейф	кайф						
келья	wуjрā				м		
кетменщик	каланд-ðāðӣj						
кетмень	ка/иланд м/ж, кетман ж						
кибла	qиблā				м		
кидание	аwолā				м		
кидать	птêw: патêwд, ðāð: ðод						
кидающийся	сӣч-ðāðӣj, сӣчзан						
кизяк	ɣẙрш, хиx̌ẙб				м		
кизяковый	хиx̌ẙбин						
киик	нахчӣр(буч) м, jẙндор						
кинза	гаx̌нӣʒ						
кипарис	сарw				ж		
кипение	wӯрв(-ðêдак) м, jẙx̌						
кипятить	wêрв: wêрвд, wарвен: wарвент						
кипятиться	wāрв:wӯрвд						
кипяченый	wӯрвjин, wарвāн						
кипящий	wарвāнд						
кирка	чок, зоɣнẙл(ак)				м		
кирпич	хиx̌т, кирпич				м		
кирпичный	хиx̌тин, кирпӣчин						
кисленький	таx̌пак						
кислота	туx̌пи				м		
кислый	туx̌п(и), цӣx̌, зāр						
кисти	леx̌ā						
кит	наанг				ж		
китайский	хитойи						
кицорак	кицорак				м	(очаг)	
кишечник	ɣаθриш				м		
кишкул (сосуд)	кишкẙл				ж		
кишлак	qишлоq				м		
кишлачный	кишлоqи						
кладбище	хокистӣн, qāбаристӣн, гẙристẙн				м		
класс	табаqā, синф				м		
клевер	себаргā м, ɣорj				м		
клеветать	рарð: руx̌т, тẙмат ч. (кин)						
клеиться	пиðафц: пиðӯвд м, пиðāвд ж						
клей	сиреx̌, килей				м		
клейкий	ладāq						
клейменый	доɣдор						
клеймо	доɣ				м		
клецки	шӣр-амоч					(с молоком)	
клецки (с молоком)	шӣрамоч						
клещ	ðакӣjак, сӯрв				м		
клещи	амбур				ж		
клинышек	зивак				м		
клинья	тириз				м		
клоп	шавзод				м/ж		
клоун	масqарабоз						
клочья	wẙн-wẙнак						
клубни	бун				м		
клубы пыли	ситадах						
клушица	ɣ̌āж/j, ш. тж. жāɣ̌						
клюв	нẙл				м		
клювом	ми-нẙл						
ключик	wиx̌ӣʒак				ж		
клюшка	jигẙн				ж		
кляп	биjозг						
кляузник	тẙматгāр, x̌ӯр-ðāðӣj, x̌ӯрзан, хабаркаx̌, ашêрӣj						
кляузничание	хабаркаx̌(ак)и м, x̌ӯрангези						
книга	китоб				ж		
книговед	китобдẙн, китобшинос						
книговедение	китобшиноси				м		
книголюб	китобдӯст/дор						
книготорговец	китоб-парðāðӣj, китобфурӯx̌						
книжечка	китобчā, китобак				ж		
книжный	китоби						
кобчик	бошā				м		
кобыла	вêрʒ, модийẙн(а)				ж		
кобылка	харак						
коврик	qолӣнак, пẙстак						
ковровщик	qолӣнбоф						
ковылять	wуц:вуцт						
ковыляя	wуц-wуц, мẙрмẙрик, калагат-калагат						
ковыляя	wуц-wуц, мẙр-мẙрик, калагат-калагат						
коготь	чāнг				м		
когтистый	чāнгин						
кое-где	гā-jо						
кое-как	кāнд-чи-пāр, дẙндазā						
кое-какой	ар-чӣз, бāзи						
кое-что	ар-чӣз						
кожаный	пẙстин						
кожица	пẙстак, wарðêwʒ				м		
коза	ваз				ж		
козий	вазанд, визнечанд, гуjанд, бучанд						
козленочек	бучāкбуц, гуjбуц						
козлик	бучāк(буц)						
козлиный	вазанд, бучанд, визнечанд, гуjанд						
козлодрание	гуj-тӣжд				м		
козлы	визнеч(ен)						
козлятина	визнечанд						
козлятина (мясо)	визнечанд						
козни	фāнд						
козочка	гиj(ак/биц), вазик ж, нахчӣр-гӣj						
козы	вазен, визнеч(ен)						
койка	тахт, койка				ж		
кокетка	котабоз						
кокетливость	пурwисӯли				м		
коклюш	кабӯт-з/сулфā				м		
кол	мêx̌						
колдун	сêргāн, jоду(гāр)						
колдунья	алмасти ж, jаддагāр м/ж						
колебать	дар-ду-галак ðêдоw (ðи: ðод)						
колебаться	wуц: wуцт, луц: луцт						
колеблясь	гилнêɣ̌ак	галнêɣ̌ак					
колено	зẙн				м		
колер	рāнг				м		
колесико	чархак				ж		
колесо	чарх				ж		
коли	ага(р), ар-гẙн, ар-гā						
колики	халлā						
колка	(дров) теби(ʒ), жӣзвириx̌т						
колка	теби(ʒ), жӣз-вириx̌т					(дров)	
колки	гӯx̌ак						
колкий	тез, тарɣузā						
колллега	амкор, амкасп						
колода	кундā, лӣш				м		
колодец	qудуq				м		
колодки	пойjẙв; кā(ф)x̌êн						
колок	гӯx̌ак				м		
колонна	ситан				ж		
колос	роɣ̌ʒ						
колосистый	роɣ̌ʒдор						
колоссальный	сар-то-сар						
колоться	чукчак с. (сāw)						
колыбель	ɣẙк, wулчāк				м		
колыбелька	ɣẙкак				ж		
колыбельная (песня)	лалāик				ж		
колышки	сӣм-ðорг				м		
кольцо	алqā м/ж, нигӣнā м						
колючий	тез, шӯðдор, шаɣ						
команда	малах м, гирӯм						
командование	фармẙн-ðêд, сардори				м		
командующий	фармẙн-ðāðӣj						
комар	тӣвд(ак)				ж		
комкообразный	килẙл						
коммунист	камунӣст				м		
комната	мāллā				м		
комнатушка	wуjрā, мāла-буц						
комочками	карθẙфч						
комочки	буq-буq						
компенсация	тоwẙн						
коневодство	wилоɣдори, мӣрохури				м		
коник	ворjак				м		
конкурент	раqӣб						
конкуренция	шарӣкатдори				м		
конопля	канāб м/ж, банг				ж		
конопляный	канāбин, бангдẙнā						
конский	ворjанд						
контора	идорā м/ж, мāкамā				м		
конура	x̌ичӣф-рêз				м		
конусообразный	милӯт(ак)						
конфликт	таjанг, бẙx̌						
конь	ворj, асп, дул-дул				м		
конюх	мӣрохур, ворjбẙн						
копалка	мêх-jанд						
копание	чāниʒ, чӣнотоw						
копать	чāн: чӣнт, рарð: руx̌т						
копаться	финухц:финухцт						
копающий	чāнӣj						
копейка	тӣн				м		
копилка	пӯлдẙнак				м/ж		
копировщик	нусха-зêзӣj						
копия	нусхā, нуqсā				м		
копна	wиx̌тен, wӣзаx̌				м		
копошение	wуз-wуз				м		
коптить	тахц: тихт, питахц: питихт						
копыто	сумб(ак)				м		
копь	кẙн				м		
копье	незā, найзā						
копьеносец	незазан						
корабельщик	киx̌тӣнбẙн	каx̌тӣнбẙн					
коралл	марjẙн				м		
коренастый	пуq, бомӯси						
корень	wийеш(к), wêх, бун, бêх, саjарот						
корешок	буник				м		
корзинка	цимубуц м, сӣптак ж						
кориандр	бāт, гаx̌нӣʒ						
корить	пичирẙх:пичирẙхт						
коричневый	рӯрв м, рорв ж						
кормилец	аwqот-вор, харч-кунӣj, дойā, тардẙшӣj						
кормить	(wоx̌) wеð: wеðд						
кормушка	wинӣр, охур(чā)				м		
корневище	wийеш(к)				м		
корни	wийêш(к), бун				м		
корноухенький	мухчик						
корноухость	ма/ухчй				м		
коробка	qӯти м, qӯтичā ж						
коровий	жоwанд						
короковатый	кутрāнг м, катрāнг ж						
королек	пӯргак-wиðич						
корона	тоj						
короста	пẙмч				м		
коротенький	лурθ						
короткий	кут м, кат ж, кӯто						
коротко	куттаθ, кӯто(θ)						
короткое	ганд-бêрʒ						
короткорогий	кут-хоx̌						
короткоухий	кут-ɣẙɣ̌	кут-ɣẙw					
короткохвостый	кут-ðум						
короткошерстный	кут-wẙн						
корточки	бун-ʒилуq						
коршун	чаɣ						
корыстный	мазакаx̌						
корыстолюбие	тамā						
корыто	хêx̌т				ж		
корытце	хêx̌так				ж		
корь	сурхакẙн, сурх-боð				м		
коса в пять прядей	панjак, пиро-хоx̌ак						
коса в три пряди	себофак						
косарь	цоwгāр, цоw-кун, wоx̌-цийӣj						
косить	ци:цид						
косматый	циx̌, кишин, кишиндӯд, wирʒин, wӣс						
косноязычие	θӣк-θӣк				м		
косо	чӯрð, чêхт, каɣ̌	чêхт, каɣ̌					
кособокость	чêхти м, чāхти м/ж						
косоватый	каɣ̌-рāнг						
косоглазие	чиqири				м		
косоглазый	чиqир, чуɣ, каɣ̌ (-зем)						
косой	чиqир, чуɣ, каɣ̌						
костер	алоw, гулхан				м		
кости (от рыбы)	сиг(ак)						
костистый	сигдор						
костлявый	чиwêр-чуx̌ак						
костыль	моθ				м		
косынка	тӣтак, фидойи				м/ж		
косьба	цоw				м		
кот	пиш ж, пуш м/ж						
котел	дек				ж		
котенок	пишбуц м, пишбиц ж						
котиться	зи:зод						
котовник	пуx̌тайи-ðêсак				ж		
который	чидẙм(ин), цẙндẙм, ди, ца						
кочевая жизнь	кӯчманчиги				м		
кочевник	кӯчманчи						
кочегар	алоwгāр, йоц-пиðинӣj						
коченеть	wоx̌:wêx̌т						
кочковатый	буqаθ						
кошачий	пишмẙw				м		
кошелечек	бакцак				ж		
кошель	камар				м/ж		
кошечка	пишбуц м, пишбиц ж						
кошма	намад				ж		
крадучись	x̌уп-x̌упик						
кража	дузди				м		
крайний	кинорā, зибонӣнj						
кранобай	зив-бодур, суханбоз						
крапивница	мурðа-замӣн				м		
крапивный	чидɣӣнцин	чиɣӣнцин					
крапинка	хол				м		
крапинки	хол-холāк, холдор						
красавец	сойибjамол, хушрӯй(ак)						
красильщик	рāнг-кинӣj						
краснобокий	рошт-пāли						
красновато-рыжий	билӯл						
красноватый	рӯштрāнг						
красноглазый	рӯшт-ʒем м, рошт-ʒем ж						
красноголовый	рӯшт-гӣл м, рошт-гāл ж						
красноречивый	гапдẙн, шӣрӣн/гāп/сухан						
краснота	рӯшти м, рошти ж/м						
красный	рӯшт м, рошт ж, сурх						
красота	базеби				м		
красть	циф:цифт						
красться	сêр:сêрт						
краткий	мухтасар, кӯто, кут(аθ)						
краткосрочный	кӯтомуддат						
крашение	рāнг-чӣд				м		
крашеный	рāнг-чӯɣ̌jин						
кредит	насйā						
кремень	цахмох(жӣр)				ж		
крепко	хаx̌-аθ, чуст, мāкам, шаш-тиранг, бẙqā-бẙqā						
крепкость	цӣx̌и				м		
крепление	wасли				м		
крепость	qалā				ж		
крепость	лукки, ол						
крепость	qалā				ж		
кресало	цахмох				м		
кресло	чаwки				м		
крест	чорхāт				ж		
крестьянин	дêqẙн						
кречет	бошā				м		
криво	чурðи, чêхт, чабат-чабат, каɣ̌						
кривобокий	каɣ̌-пāли, каɣ̌ат килеб						
кривобокий	каɣ̌-пāли, каɣ̌-ат килеб						
кривоватый	каɣ̌/чабат-рāнг						
кривоногий	каɣ̌-поð						
кривоносый	чӯрð-нêʒ						
криворукий	каɣ̌-ðуст						
кривошеий	каɣ̌-мāк						
крикливый	wāɣӣj, jаɣат, серjанjол, хишāн						
крикун	чирӣqāн, нāра-ðāðӣj, садо-кинӣj						
критик	танqӣд-кинӣj, мунаqӣд						
критика	танqӣд						
критиковать	чиjук. чиjукт						
кричащий	марɣ̌ӣj, хишāн						
кровавый	wихинин, wихинjабал						
кровать	тāхт ж, чорпойā				м		
кровельное железо	танукā				м		
кровля	дишӣд				м		
кроить	x̌ичанд:x̌ичуx̌т						
кройка	бураx̌				м		
кролик	харгӯш				м/ж		
кролиководство	харгӯшпарwари				м		
кролиководство	харгӯш-парwари				м		
кроме	(ба) ɣайр(и), бāди, бидӯни						
кромсать	wиx̌камб:wиx̌кӯвд						
крот	кẙр-бẙргак				м		
крохи	нармā, тӣт(-ат тор)						
крошение	фираx̌мāк				м		
крошечный	хамāк						
крошить	чук:чукт						
крошки	нармā, резги, хӣчи, хӣч-хапӣч						
круглолицый	журн-бӣц м, жарн-бӣц ж						
круглость	журни				м		
круглый камень	сêwиj						
круговорот	гарðов				ж		
кружение	чарх(ак), гилнêɣак, даwр, jаwлẙн, фаɣочак						
кружка	гулосак				м/ж		
кружок	хал/рманʒев				м		
круноузорчатый	алоw						
круп	саɣри				м		
крупинки	кабājак	кибаjак					
крутизна	тундājги				м		
крутить	нêɣ̌:нêɣ̌д						
круто	раq(аθ)	риq(аθ)					
крутой	раq	риq					
круча	парканд, пиjẙнд				м		
кручение	гилнêɣак, тоб, жебиʒ						
крученый	тêбӯрмак						
крылатый	пāрдор						
крыса	пӯрг				м		
крысенок	пӯргбуц				м		
крыша	дишӣд						
крышка	ɣêвак м, ниɣẙðм						
кряхтенье	кух-кух, кêх-кêх				м		
кстати	рости, хаx̌						
кто	чāй, чӣз						
кто-нибудь	йи-йор, чидẙм						
ку-ку	тай						
кубарем	тор-мāлāq, оле-оле						
кубок	jẙм				ж		
кувыркание	мāлāq						
кувырком	тор-мāлāq, θӣ-питор, оле-оле						
кувырком	тор-мāлāq, θӣ-пи-тор, оле-оле						
кувырок	мāлāq						
куда	тар-кā, кājад, ар-кā						
куда-то	кājад, кājо, арjо-ца						
кудахтание	qум-qум, qутоw				м		
кудель	пушак м, wиx̌кӣмц ж/м						
кудри	каɣ̌ак, парчāм, зулф						
кудрявый	парчāмин/дор, каɣ̌ак, (ɣӯнj/мӯй)						
кузнец	wистоð, нолгāр, оангар						
кузнечик	вазич ж, жидӣшк м						
кукиш	фуц, биж						
кукуруза	x̌āри-бӣнj				ж		
кулак	мут(зӯр), ту/аккā						
кулинар	т(а)ẙм-пӣʒӣj						
культура	ободи м, маданийат				м		
культурно	маданиwор						
кумач	алwẙн				м		
кумир	бут				м		
куний	ðêɣ̌ганд	ðêwганд					
купать	wêз:wêзд						
купаться	wāз:wӣx̌т						
купец	саwдогар, дӯкẙнчи/дор, тоjир						
куплет	бāнд ж, фароwурд м/ж						
купол	гумбаʒ, qубā						
купчая	wасӣqā				ж		
курак	кẙрāк						
курдюк	думбā				м		
курдючный	думбадор, турки						
курение	чилим-тӣжд				м		
курильщик	чилими, чилим-тāжӣj/каx̌						
куриный	чаx̌анд						
курить	тāж:тӣжд						
курносый	фушк, шипит-нêʒ, мишк-нêʒ, манāш						
курок	моx̌ā						
курпача	болаx̌, курпачā				ж		
куртка	курти, кӯртка				ж		
курьер	хат-йосӣj, хāткаx̌						
курятник	чаx̌-чӣц				м		
кусачки	газамбур				ж		
кусающийся	пирендӣj, газандā						
кусками	кут-пи-кут(ак), тилӣмтилӣм, бӯлак-бӯлак						
кусками	кут-пи-кут(ак), тилӣм-тилӣм, бӯлак-бӯлак						
куски кожи	wарðẙнбируx̌						
кусок	дыни, арбуза qеш(и), ɣêв(и)						
кусок дров	пирêɣмā						
кусок кожи	пāлч, порги, пуx̌ти-кāнд, тӯθчак						
кусок теста	хоx̌ч						
кусок ткани	jẙмаwор						
кусочек	цупик, бӯлак, тӣвʒ, парɣечā						
кусочки	резги, wẙн-wẙнак, хӣчхапӣч						
кусочки	резги, wẙн-wẙнак, хӣч-хапӣч						
кустарниковый	пуп м, пап ж						
кустарничество	унарманди				м		
кустарь	унарманд						
кухарка	пӣʒӣj						
куча людей	лиx̌кар						
кучка	qол					(из 4 орехов)	
кучками	йи тāли, хилwор						
кушак	камарбанд				м/ж		
кушание	аwqот, харч/j(ак), ош, т(а)ẙм, x̌ем						
кушхана	qӯшхẙнā				м	(комната)	
лавка	дӯкẙн				м		
лад	музыки садопарðā						
ладный	соз						
ладушки	тẙ-тẙ						
ладья	рух				ж	(шахм. )	
лакать	лаqдоw, ðāð: ðод, парɣанд: парɣуст						
лакей	малāйкā				м		
ланцет	ниx̌тар				м		
лапша	ош ж, тов м						
ларек	дӯкẙн				м		
ластовица	qулфак				м		
латунный	биринjин						
латунь	биринj, мис				м		
лачуга	wерẙнā м, каппā м/ж						
лаять	ɣ̌āш:ɣ̌ӣшт						
лгун	фāнд-ðāðӣj, фāнд-гӯй, дирӯɣ-гӯй, нарх-нêðӣj						
лев	шер				м		
левша	чапдаст, чāпāк						
левый	чāп						
легко	осẙн, сабук-аθ, сабукẙнā, бе-дӣдани, бемашаqqат-аθ						
легковес	сабукwазм						
легковесный	сабук(ẙнā)						
легковой	сабукраw						
легкомысленность	бодигари, бодиги, бефикри, сабукфикри						
леденеть	винд: вӯст; йах ч. (кин)						
леденец	набот				ж		
ледник	лозар				м/ж		
ледниковый	лозари						
ледокол	йāх-вира ɣ̌ӣj, йахшикан						
ледяной	алоал, зāри алоал						
лежа	чи-пāлийак						
лежать	x̌офц:x̌овд						
лежащий ничком	чи-ɣ̌êв						
лежебока	бухур-хоб						
лезвие	тêɣ̌(ак) ж, рẙй						
лезть	wиз:wизд						
лекарство	дори(-бори), даwо(йи)				м		
лекарь	табӣб, акӣм						
лен	зиɣер				ж		
лениво	маx̌-маx̌ā						
лениться	фус:фуст						
леопард	бабр(и) м, озода-паланг ж						
лепет	фит-фит, фут-фут						
лепешечник	гарðа-пӣʒӣj						
лепить	ниðемб:ниðембт						
лес	jингāл ж, дирахтзор м						
лесистый	jингāлдор						
лесник	jингāлбẙн						
лесной	jӣнгали						
лесоруб	жӣз-вираɣӣj	жӣз-вираwӣj					
лестница	зӣнā(пойā), нарвẙн(д)				ж		
лесть	тамаллуɣ				м		
лет средних	мийẙнсол						
летать	риwāз: риwуx̌т м, риwаx̌т ж						
летающий	парẙн						
летний	солӣнj						
лето	тобистẙн ж, тамӯс м						
летовщица	дӯɣдор, елчизāн				ж		
летоисчисление	солшимори				м		
летом	тобистẙн-jев						
летопись	солнẙмā				м		
летучая мышь	x̌āб-гардак, x̌āпарак				ж		
летучий	парẙн, риwāзӣj						
лечебница	касалхẙнā, табобатхẙнā				м		
лечник	дафак				м		
леший	хêx̌пичẙмч				м/ж		
лжец	дӯрӯɣгӯй, фāнд/сундурðāðӣj						
лживо	бар-дирẙɣ-аθ						
лживость	мазанги				м		
лживый	дирẙɣ, фанд-гӯй, синдур-ðāðӣj, мазанг, чаллӯс						
лик	шамоил				м		
ликвидация	бар(h)ам-ðêд м, нобӯт						
лилипут	бижɣут				м		
лимон	лимẙн				ж		
лимфаденит	жилɣӯнд				ж		
линейка	хāткаx̌				м		
линия	радā м/ж, хāтак ж						
линовальщик	хāткаx̌						
линовать	тāж:тӣжд						
липкий	часпак, чаплуx̌т, ладāq, ɣ̌инʒелак						
липнуть	пиðафц:пиðӯвд						
лиса	рẙпцак				ж		
лисенок	рẙпцак-буц м, рẙпцак-биц						
листопад	паркрез				м		
литература	адабийот				м/ж		
литературный	адаби						
лить	гарðен: гарðент; тис ч. (кин)						
лицевой	хез						
лицемер	дурӯйā						
лицемерие	jалдабӯси, дурӯйx̌аги				м		
лицемерный	ðузивак, jалдабӯс						
личина	лиqоб				м		
лично	поð-тӣр						
личность	шахс (ийат)				м		
личный	шахси						
лишай	жӣрðẙx̌ц				м		
лишаться	рис:ред						
лишенный	бенасӣб, мāрӯм						
лишний	зийоти, нодаркор, барзийот, питāтẙни						
лоб	пеx̌ẙни, фироx̌				м		
лоботряс	шуми, тāтар						
ловелас	занака-боз				м		
ловец	сайод, мойи-анjавиj	Мойи-инjавиj					
ловить	анjав:анjӯвд						
ловкач	найранг, корчалẙн						
ловко	чарс-аθ, тāпц						
ловля	сайд						
ловушка	пêð (ак) ж, дẙм						
логовище	морйечā						
логово	рêз м, йêθ						
лодка	киx̌тинак, хан				ж		
ложе	бӣр, бистар				м		
ложечка	чибак				ж		
ложный	(бар-)дирẙɣ, нотуɣри, хато						
лоза	x̌еб, ангӯрð				ж		
локон	каɣ̌ак, зулф				м		
локоны	парчāм, кируx̌ак				м		
локоть	wиx̌чêрн				м		
ломать	вираɣ̌: вируx̌т, зидарð: зидуx̌т						
ломка	wерẙнги				м		
ломкий	x̌ичāфӣн						
ломонос восточный	цӣнцоj				м		
ломоть	тилӣм, qеш				м		
ломтик	паркак				м		
лопасть	пāр, теф				м		
лопаточка	бājиб(ак), белчак				ж		
лопаться	x̌ичāф: x̌ичӣфт, зидарð: зидуx̌т						
лопающийся	x̌ичӣфчӣн	x̌ичӣфчин					
лопоухий	Ката-ɣẙɣ̌	Ката-ɣẙw					
лоскут	тулт				м		
лоскуты	тулт-пāр, цут-пи-цут						
лоток	ноw				ж		
лохматый	циx̌, пицуx̌, кишин(дӯд), wиx̌тен						
лошадка	ворjак				м		
лощеный	x̌ирн						
лужайки	чаманзор				м		
лужок	гозāк, гозик				м		
лукавый	айор, шайтẙн						
луна	мêст, мāтоб				ж		
лунка	канак				м		
лунная ночь	мāтоб-x̌āб						
лупить	зӣн:зӣд						
лучезарный	нӯрẙни						
лучок	цанич				ж		
лучше	бӣди						
лучший	бӣ						
лущеный	бепẙст(аθ)						
лыко	пӯстлох				м		
лысый	шилак(гӣл), кӣл, арẙм-пӯмак, лӣшгӣл						
львица	шер				м		
льющийся	киx̌лā, чи-поx̌нā						
любимец	нозийẙн						
любитель	дӯстдор, ишqи, котабоз						
любить	жӣвждоw						
любовный	ишqи, калтадори						
любой	ар-чидẙм, ар-чāй, артāн						
любой	ар-чидẙм, ар-чāй, ар-тāн						
любопытный	кунjкоw						
любопытство	кунjкоwи				м		
любящий народ	халqпарwар						
люд	хок(и)сор						
люди	мардум, халq, халойиq, одамӣнзод, банда-зод						
людный	серодам						
людоед	одамхо/ур, одам-хāрӣj						
людоедство	одамхури				м		
люлька	wулчāк				м/ж		
лягать	биспāр: биспāрт; биспāр ð. (ðāð)						
лягаться	биспāр:биспāрт						
ляжка	биx̌тẙн				м		
лязг	ɣал-ɣ̌ал, жар-жар, лах-лах						
лязганье	ɣ̌аласт						
лянга	пӣнзẙ						
ляпис-лазурь	лоjwар				ж		
магазинный	думбола-пур				ж	(деталь оружия)	
магический прием	тилисм						
мазар	мазор				ж		
мазь	мал(h)ам, тӯтийо				м		
мак	кӯкнор, ɣузā				ж		
маковка	фарqи сар						
мало	кāм, дӯс, аwеj, дако-дако						
маловажный	беамийати, камāмийати						
маловодный	кам-x̌ац, камоб						
маловыгодный	камфойдā						
малограмотный	камсāwод, чаласāwод						
малодейственный	камтāсӣр						
малодоходный	камдаромад, камфойдā						
малодушие	камзāраги, номарди				м		
малодушный	камзāра, номард						
малоземелье	камзамӣни				м		
малоземельный	камзамӣн						
малоимущий	камбизойат, нотиwẙн						
малоискусный	кам(h)унар						
малокалиберный	таqqāнак						
малокровие	камхӯни, бе-wихини				м		
малокровный	камхӯн						
малолюдный	камодам						
малолюдье	камодами				м		
малонаселенный	камодам, кам(h)оли						
малоодаренный	кам(h)унар						
малоопытный	камтаjрубā						
малоплодный	камбар, камосил						
малоподвижный	кам(h)аракат						
малополезный	камфойдā						
малоприбыльный	камдаромад						
малопригодный	рêх, тунд					(для посева)	
малопродуктивный	камма(h)сӯл						
малосильный	камqуwwат						
малословный	камгāп						
малосоленый	камнамак						
малоспособный	кам(h)унар, камафзол, пидмоw-рāнг						
малосущественный	камā(h)мийат						
малоурожайный	кам(h)осил						
малоценный	камбā(h)о						
малочисленный	камшумор						
малошерстный	камwẙн						
малый	дӯс, кāм θêwнак						
малыш	кӯдак, хӣч				м/ж		
малюсенький	дẙндик(а)						
малютка	wиx̌так; (перен) бӣθʒāк						
маменька	нāник				ж		
манера	wарзиx̌, wарзаx̌				м		
мануфактура	кола-боб				м		
марена	арðӣн				м		
марля	дастои-jул				м		
масленка	чāрвдẙн, рӯɣандẙн				м		
масленый	рӯɣанов						
маслина	сӣзд				ж		
маслобойка	паɣ̌нӣʒ				ж		
маслянистый	рӯɣанин						
масляный	рӯɣанин, чāрвин						
массировать	пупок гирнофак (б. гарнофак) тêбтоw						
мастер	wистоð, унардор, унарманд, мозӣj, сойиб(h)ẙнар						
мастерская	коргā, корхẙнā				м/ж		
мастерство	wистоðи, унарманди				м		
мастит	биш-дāрð						
масть	рāнг						
материал (для одежды)	либосwори						
материнский	модари						
матерчатый	jулин						
матрац	бӣр-wиðӣj, мадрāс				ж		
матушка	нāн(ик), модар				ж		
мать	нāн, модар				ж		
маханье (рукой)	ðуст-аwāн						
