shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
bēruṓt	beruot,berihot,beriot,berahot,beraot,beruhot	bēri(h)ṓt, bē-ra(h)ṓt, bēruhṓt											неудобный	wúz-um x̌āb bēru(h)ṓt x̌ōvd я плохо спал сегодня ночью; mu wīz bērahṓt vud xu mu sīvdḗn-i dā́rð-ti wēðd моя ноша была очень неудобна и у меня заболели плечи	
bērūyí	beruyi												наглость, нахальство		
bēs	bes,bed,best,beðj,bedow			bēd			bēst	bēðǰ			bēdṓw		пропадать, исчезать, гибнуть	bēs azů́dand! сгинь отсюда!	
bēšák	bešak												несомненно, без сомнения, безусловно		
bēsamár	besamar												неудачливый, неудачник		
bēsamarwṓr	besamarwor,besamarwur	bēsamarwů́r											торопливо, поспешно, суетливо	falůní bēsamarwů́raθ yat, xu vōrǰ sawṓr sut xu, tūyd такой-то поспешно подошел, сел верхом и поехал	
bēsārí	besari												своеволие		
bēsārí čīdṓw	besari čidow												своевольничать		
bēsátri	besatri												бесстыжая		
bēsawṓb	besawob												неудобный, неуместный	falůní ōdám bēsawṓb gā́p-i ðōd xu bêmadůní xafā́ sut такой- то говорил неуместные вещи и такой-то обиделся; mu bū́t-and mi pêznák bēsawṓb на моих башмаках очень неудобные каблуки	
bēsawōdí	besawodi												неграмотность, безграмотность	bēsawōdí nēst čīdṓw уничтожить, ликвидировать неграмотность	
bêst	best												стой! ни с места! (требование к лошади стоять неподвижно)	a vōrǰ, bêst! стой, лошадь!	
bētartībí	betartibi												беспорядок	bētar-tībế-t γažd беспорядок и грязь	
bētṓb	betob												слабый, изнуренный, бессильный		
bētṓb čīdṓw	betob čidow												ослабить, изнурить, беспокоить	yam mu kāl dārð lap bētṓb-i mu čūγ̌ǰ головная боль меня совсем измучила; garmí mu lap bētṓb čūγ̌ǰ жара меня очень изнурила	
bētṓb sittṓw	betob sittow												изнемочь; быть в горячке	falůní bēmṓr ca vud, bētṓb vēgā́ sut такой-то заболел, и вчера у него началась сильная горячка; falůní tar x̌ār ca vud šič lap bētṓb suðǰ ar čīd sitṓw ǰāt такой-то в городе, и теперь он прямо в лихорадке, так он тоскует по дому	
bētōbí	betobi												нетерпение, невыносливость, слабость	bētōbí māk! будь терпелив (вынослив)!	
bētůγmí	betuγmi												отсутствие семян	as dāsti xu bētůγmí-yām xu zimcḗn kix̌t čīdṓw na vār-ðōd из-за отсутствия семян мы не смогли засеять свою землю	
bēūdā́	beuda,bewudda	bēwuddā́											зря, напрасно, без толку		
bēūdagí	beudagi,bewuddagi	bēwuddagí											бестолковость, нелепость, неосновательность		
bēwā́	bewa												вдовец, вдова		
bēwā́	bewa												женщина (не девственница)	yā γā́c-ō bēwā́? она девушка или женщина?	
bēwafōgī́	bewafogi,bewafoyi	bēwafōyí											неверность, непостоянство, вероломство		
bēwagí	bewagi,bewayi	bēwayí											вдовство		
bēwilōγí	bewiloγi												отсутствие вьючных животных, безлошадность		
bēwux̌í	bewuxi												забытье, беспамятство, бесчувствие, обморок		
bēwux̌í čidṓw	bewuxi čidow												впасть в забытье, беспамятство, стать рассеянным, забыть, забыться	yu bēwux̌í-yi čūd xu, bād ðōd ar yēd он в рассеянности упал c моста; yu bēwux̌í-yi čūd xu, bād xu kurtā́-yi tar mu xēz rinū́x̌t он стал совсем вне себя и забыл у меня свою рубашку	
bex̌	bex												больше	bḗx̌-um wuz čūd! я больше сделал!	
bêx	bex												корень	wuz di bếxēc wizů́num я досконально это знаю	
bēxabarí	bexabari												неосведомленность, безвестность		
bēx̌ací	bexaci												безводье, засуха		
bēx̌armí	bexarmi												бесстыдство, бессовестность		
bex̌dí	bexdi												больше, более, но большей части, в большинстве	x̌uγ̌nů- níyēn bēx̌dí tōǰikí wizů́nēn шугнанцы в большинстве знают таджикский язык	
bēxilī́wand	bexiliwand,bexiliwaθ	bēxilī́waθ											вдруг, внезапно, неожиданно		(= ba-nōkā-fánd)
bēxinū́r	bexinur												озорной, проказливый, сорванец, нахал	di dastū́r bē- xinū́r baččā́ mi dinyṓ-tīr piðṓ na sůd другого такого сорванца, как этот мальчишка, на свете не сыскать	
bēxinūrí	bexinuri,bexinurgari	bēxinūrgarí											озорство, бесстыдство, наглость		
bēx̌ōǰí	bexoji												бесстрашие, отвага		
bēzamīní	bezamini												безземелье		
bēzḗb	bezeb												некрасивый, невзрачный		
bēzēbí	bezebi												невзрачность, некрасивость, дурнота		
bēzindagí	bezindagi												отсутствие жизни	as mi zindagí bēzindagí bīdí лучше совсем не жить, чем жить таким образом	
bēzṓr	bezor												избегающий, отрекшийся; испытывающий отвращение; бросивший, переставший		
bēzṓr čīdṓw	bezor čidow												заставить отречься, заставить покинуть	as falůní-yēn as wi nā́nat dōd bēzṓr čūd его заставили отречься от своих родителей	
bēzṓr sittṓw	bezor sittow												отречься; бросить, перестать	as xu dōd bēzṓr sut он отрекся от своего отца; yā γāc as xu nān bēzṓr sat as rū́yi xu čṓr она бросила свою мать ради своего мужа; yu as x̌êydṓw sut bēzṓr, atā šič mardikōrí kix̌t он бросил учиться и теперь работает чернорабочим; wúz-um as xu kōr bēzṓr sut я бросил свое дело	
bêγ	beγ,beγd,beγd,beγdow			bêγd			bêγd				bêγdṓw		блеять (о мелком рогатом скоте)	yā maγ̌ bēγd овца блеет	
bēγaráz	beγaraz												беспристрастный, нелицеприятный, объективный, незаинтересованный	wúz-um ik-ů́d- and bēγaráz ōdám я в этом человек незаинтересованный	
bēγarazůnā́	beγarazuna												беспристрастно, объективно, нелицеприятно		
bibí	bibi												госпожа, барыня, знатная женщина	bibí ǰinṓw-at nīsc! расселась, точно барыня!	
biðáfc	biðafc,biðuvd,biðovd,biðafst,biðuvj,biðivʒ,biðovj,biðivdow			biðū́vd		biðṓvd	biðáfst	biðū́vǰ	biðī́vʒ	biðṓvǰ	biðīvdṓw		закрываться (о глазах)		
bidā́l	bidal												замена, мена		
bidā́l čīdṓw	bidal čidow												заменять, менять		
biðā́n	biðan,biðand	biðā́nd											седло		
biðḗmb	biðemb,biðemt,biðemt,biðemč,biðemtow			biðḗmt		biðēmt		biðēmč			biðēmtṓw		закрывать (глаза)		
bīdí	bidi												лучше, лучший		
bīg	big												глиняный горшок		
biǰárx̌	bijarx,bijarxbinj	biǰárx̌-binǰ											род проса (чернее обыкновенного, выносящий суровый климат)		
biǰilák	bijilak												бабка, лодыжка, щиколотка (в шуточных выражениях)	wuz tu biǰilakḗn tếbum! ужо, я сверну тебе щиколотки!	
biǰī́n	bijin												мякина и мусор, сгребаемые с тока и употребляемые в качестве подстилки для скота		
biǰīndů́n	bijindun												сарай для мякины		
biǰṓzg	bijozg												намордник для ягнят и телят (чтобы не сосали маток)	biǰṓzg čīdṓw надевать намордник на ягнят и телят; yi lāv šagḗn-at, guǰ-wārgḗn xu nānḗn ar ǰṓ-rad-aθ ̌xikarḗn-at rā́vēn, důnd-ǰāt dað wēv biǰōzgḗn иногда телята и ягнята везде ищут своих маток и сосут их, и поэтому на них надевают намордники	
biǰū́γ̌	bijuγ̌												подмышка		
bilaxlaxák	bilaxlaxak												щекотание		
bilīsák	bilisak,blisak	blīsák											вид насекомого (?)		
bilīsák	bilisak,bilisakbod,bilisakboð	bilīsák-bōd, bilīsák-bōð											вихрь, вихревое движение, завихрение; стремительный ветер	bilīsák wṓx̌-i yōd вихрь унес сено	 (=gi- rd(i) bōd)
bilīsák-bṓð	bilisakboð												вихрь		
bilū́l	bilul												золотистый, желтоватый (о масти)		
binếs	bines,binest,binest,binestow			binếst			binếst				binêstṓw		губить, уничтожать, терять, утратить		
bingák	bingak												осленок		 (=markāb-buc)
binṓ	bino												основание, здание, постройка		
binṓ čīdṓw	bino čidow												основывать, учреждать; приступать, начинать	sū́r-ēn binṓ čūd приступили к свадьбе	
binyṓd	binyod,bunyod,bunyot	bunyṓd, bunyṓt											основание, основа, начало; прочный, непоколебимый	bunyṓt sāw! будь прочен!	
bīnʒák	binʒak												огарок (черной свечи)	"têr-cirṓw di yi lāv θůd, pizūrik-ga di rēd, dáð-ta ik-wi rēðǰín-ta bīn- ʒák lů́vēn когда ""têr-cirōw“ частью сгорит и когда немножко еще останется, то этот остаток и называют „bīnʒák“"	
bir	bir												постель	maš bir wēðǰín vud tūð pi-bīr наша постель была постлана под тутовым деревом; awáli x̌ů́maθ fúkaθ xu bīr wḗðēn xu, x̌ṓfcēn в начале вечера все расстилают свои постели и ложатся спать	
bīr	bir												низ, нижняя часть	as bīr снизу; as xu pīc bīr из-под своего лица; sit pi-bī́r, ar sit bī́r под слоем земли; ar yēl bīr внизу летовья; wēd bī́r-and под ивой	
bī́r-va	birva												под (предлог)	x̌itúr wīz bī́r-va верблюд под вьюком; rābári firqā́ bī́r-va под руководством партии; as bī́r-va из-под	
birānā́	birana												голый		только в сочетании šilák-at birānā́
birānā́ čīdṓw	birana čidow												обнажить (нож, саблю)		
birḗd-bix̌t	biredbixt												мука, смолотая из поджаренных зерен пшеницы или ржи и тутовых ягод		
bīrḗǰ	birej												постель, подстилка		
birếw	birew,birud,birewd,biruðj,birewj,birewdow			birúd			birếwd	birúðǰ, birếwǰ			birêwdṓw		отнимать ребенка от груди		
birếz	birez,brez,biroxt,broxt,birezd,birextow,brextow	brếz		b(i)rṓx̌t			birếzd				b(i)rêx̌tṓw		пить		
birḗʒ	bireʒ												название червяка, опасного для овец	yi čixī́ǰ didi ar- gůn minḗč wi ca xīrt, darāwaθ bēmṓr sůd xu bād mīrt это червяк, если овцы его съедят, они болеют и умирают	
birík	birik,borik	bōrík											тонкий, узкий; высокий (о голосе)	wind wi awṓz ik-důnd birík yast didi, tu lů nāyi у него такой высокий голос, что ты скажешь — флейта	
birikí	biriki,boriki	bōrikí											тонкость, тонкая, узкая часть		
bīrī́n	birin												нижний (о дороге)		
birínǰ	birinj												рис, рисовая крупа		
birínǰ	birinj												желтая медь, латунь		
bīrnḗnǰ	birnenj												нижний		
birnếγ̌	birneγ̌,birneγ̌d,birneγ̌j			birnếγ̌d				birnêγ̌ǰ					размахивать, махать, замахиваться		
birōdár-xů́n	birodarxun												названый брат, побратим		
bīrpṓy	birpoy												отверстия внизу кладовки		
birūčák čīdṓw	biručak čidow,bručak čidow	brūčák čīdṓw											выть (о волке)	biyṓr-um sut pi pux̌tā́ didi, wūrǰ γal birūčák kix̌t вчера я поднялся на гору, и как раз в это время выл волк; as wū́rǰ-ta lů́vēn b(i)rū- čák kix̌t, as kud lů́vēn — ǰaqt о волках говорят — воет, о собаках — лает	
birū́ǰ	biruj												береста		
birū́t	birut												усы		
biš	biš												соски; вымя; грудь (женская)	biš xidṓw сосать грудь; wúz-um tō ará sṓlagíyēc xu nān biš xud я сосал материнскую грудь до трехлетнего возраста	
bismíl	bismil												нарыв, чирей		
bismillō	bismillo												во имя бога! 		(молитвенный возглас при начале какого- нибудь дела)
bišmundák ðêdṓw	bišmundak ðedow												протирать (глаза)	γabṓr ðōd ar mu cēm xu, bā́d-um xu cēmḗn bišmundák ðōd пыль попала мне в глаза, и я стал протирать свои глаза	
bispā́r ðêdṓw	bispar ðedow												лягать(ся)	vōrǰ mu bispā́r ðōd лошадь меня лягнула	
bīst	bist												двадцать	bīst-u panǰ двадцать пять	
bīst	bist												пазуха	tar bīst за пазуху, за пазухой.	
bišúq	bišuq												чулки из некрашеной (белой, серой) шерсти низшего сорта		
bisyṓr	bisyor												много	garðái bisyṓr много лепешек; gū́x̌ti bisyṓr-ēn vud они принесли много мяса	только в некоторых сочетаниях
bīwást allṓ ðêdṓw	biwast allo ðedow												разразиться рыданиями	yú-ta agá di ca x̌īnt, bīwás-ta ðīd allṓ как только он это услышит, (тотчас) разразится рыданиями	
bix̌čā́r	bixčar,bixčud,bixčirt,bixčidow			bix̌čū́d			bix̌čī́rt				bix̌čīdṓw		черпать, зачерпывать (жидкость, зерно)		1 ед. bix̌čā́rum, сокр. bix̌čā́m; 2 мн. bix̌čā́rēt, сокр. bix̌čḗt; 3 мн. bix̌čā́rēn, сокр. bix̌čḗn; пов. bix̌čā́r, сокр. bix̌čá
bix̌čū́nd	bixčund												черепок, осколок; разбитый глиняный сосуд		
bix̌tů́n	bixtun												ляжка, бедро		
biyābů́n	biyabun												безлюдье, глушь, пустыня	ar ǰṓ-ndīr di ōbōdí na vud, wí-ta biyābů́n lů́vēn всякое необжитое место называют „biyābůn“	
biyī́x̌t	biyixt												рай		
biyōmurzáx̌	biyomurzax,biyomurzix	biyōmurzíx̌											поминовение усопших, молитва об отпущении (их) грехов	falůní dōd- ard biyōmurzáx̌, bašā́nd ōdám vud да отпустятся грехи его отцу, хороший был человек	
biyṓr	biyor												вчера		
biyōrī́nǰ	biyorinj												вчерашний		
bizī́g	bizig												булава, палица: деревянный шар, насаженный на деревянную же ручку; служит для размельчения комков земли на полях		
bizī́n	bizin,bizid,bizint,biziðj,bizidow			bizīd			bizī́nt	bizī́ðǰ			bizīdṓw		помещать, загонять (скот, домашнюю птицу)	nān čax̌-bucḗn ar čax̌-ǰī́c bizī́d мать загнала цыплят в курятник	
bizúrg	bizurg												священный, святой, почитаемый		
bizū́γ̌ǰ	bizuγ̌j												инструмент для выдалбливания ложек		
biγ̌ḗn	biγ̌en,biγ̌ent,biγ̌ent,biγ̌enč,biγ̌entow			biγ̌ḗnt			biγ̌ḗnt	biγ̌ḗnč			biγ̌ēntṓw		трясти деревья		
biγ̌ī́n čīdṓw	biγ̌in čidow												накрывать, покрывать, настилать	ar tām xu yḗl-at x̌ūvǰī́c daráw dēwṓl-at biγ̌ī́n čīd sůd, biγ̌ī́n čī́d-ard ðōrg, ar ǰṓ-ndīr ǰingā́l ca vēd, azám vēn всякий тотчас принимается устраивать стены и крышу для летовья и кладовой для молочных продуктов; для настилки крыш берут дерево из леса, где оно есть	
blaxlōǰēv	blaxlojev,blaxlojevak	blaxlōǰēvák											щекотание	wi xīγ̌ bōdúr ziv ōdám ǰůn blaxlōǰē- vák kix̌t его красноречивый язык щекочет человеческую душу	
bō-sawṓd	bosawod												грамотный		
bōb	bob												дед, дедушка		
bōb-ʒūðmák	bobʒuðmak												дикое растение c белыми цветами, вроде „cūðm“.		
bōbák	bobak												зонтичное съедобное растение.		
bōbigí	bobigi												дедовский, родовой, фамильный	xu bōbigí čīd-andīr в своем родовом доме.	
bōbillṓ	bobillo												сорт пшеницы	yi zōt žindám-ta bōbillṓ lů́vēn один из сортов пшеницы называют „bōbillṓ,,	
bōbṓ	bobo												дед, старик		
bōd	bod												да будет!		только в сочетаниях mubōrák bōd! да будет благословен!
bōð	boð												язва, сифилис		 (= bṓð- maráz)
bōð sittṓw	boð sittow												выскользнуть, выскочить	vṓrǰ-um yōd x̌ac ðếd-xu, as mu ðúst-and bōð sut! я повел лошадь на водопой, и она выскользнула у меня из рук!	
bōd-irī́ng	bodiring,bodring	bōd-rī́ng											огурец		
bṓð-maráz	boðmaraz,bodimaraz	bṓdi-maráz											сифилис		
bōðīngák	boðingak												растопка	ðíd-ard qōq tōγ̌ǰā́k yō qōq ðōrg ca vid, sar pirṓ-ta wi piðinḗn если найдутся щепки или сухие прутья для разжигания кизяка, то сначала зажигают их	
bōdů́m	bodum												миндаль		
bōdúr	bodur												богатырь, витязь	bōdúr ziv бойкий язык, бойкая речь.	
bōdurí	boduri												геройство, мужество		
bōǰ	boj												обрядовое кушанье из пшеничных зерен		
bōǰā́	boja												свояк, муж сестры жены, муж свояченицы		
bōǰák	bojak												грецкие орехи в скорлупе		
bōláx̌	bolax												подушка на седло, небольшое одеяло		
bōliqā́	boliqa												молоток		
bōlō-ǰṓ	bolojo												высшая инстанция	bōlō-ǰṓ xu ðām (=pi idōráyi kata- nák xu ðām) я обращусь в высшую инстанцию	
bōlō-xůnā́	boloxuna												вышка, мезонин, балкон		
bōpīrák	bopirak												название танца и главного его участника		
bōr	bor												раз	yak-bōr однажды; cůnd bōr сколько раз	
bōr	bor												хоть, по крайней мере	a-rō, yu čōrík tūyd atā, yá, bōr wúz-at tu xu kōr kinā́m! он ушел (ничего не сделав), давай хоть мы с тобой примемся за работу! а puc, tu dōd na sút-atā, tu bōr sāw! ну, сынок, твой отец не пошел, сходил бы хоть ты!	
bōrā́	bora												раз	wúz-um cůnd bōrā́ turd lůvd! сколько раз я тебе говорил! du-bōrā́ дважды, вторично	
bōrdů́n	bordun												дрова, сложенные в штабель на зиму, поленница дров		
bōrdů́n ðêdṓw	bordun ðedow												заготовлять дрова, складывать дрова	wēv sitxůnḗn ǰā́m-ēt, bōrdů́n tīr piðínēt, wi ðīr zēt xu, ar daryṓ pitếwēt их кости соберите и сожгите на костре, а пепел возьмите и выбросьте в реку	
bóri xuðṓy	bori xuðoy												господи, боже!		
bōrů́n	borun												дождь		
bōrů́nadáx	borunadax,borunidax	bōrů́nidáx											проливной дождь, ливень		
bōšā́	boša												род небольшого охотничьего ястреба		
bōsawōdí	bosawodi												грамотность		
bōsmáč	bosmač												бандит, басмач		
bōsmačigarí	bosmačigari												бандитизм, басмачество		
bōsxṓs	bosxos												расследование, рассмотрение, следствие, дознание	"„a-rṓ, sūd tu kōr bōsxṓs-i čūd yō nay?“ — „sūd mu kōr-i bōsxṓs čūd xu ištrṓb-ēn mu čūd“ „что, брат, суд уже рассмотрел твое дело или нет"" — „суд рассмотрел мое дело, и меня приговорили к штрафу''"	
bōwár	bowar												вера, доверие		
bōwár čīdṓw	bowar čidow												верить		
bōwaráx̌	bowarax												уверенность	as di kōr mund bōwaráx̌ nist у меня нет уверенности в этом деле	
bōwarí	bowari												уверенность, доверие	mund az wi bōwarí nist y меня нет в нем уверенности	
bōy	boy												богатый, богач, бай		
bōy	boy												выбоина; пещера		
bṓyad	boyad												нужно, должно, надлежит		
bōyí	boyi,boygari	bōygarí											богатство		
bōyinǰů́n	boyinjun												баклажан		
bōz	boz												сокол		 (=ǰanwā́r)
bōz	boz,bext,bezd,bexč,bextow			bêx̌t			bêzd	bêx̌č			bêx̌tṓw		играть (в мяч, кости, чижа); качаться (на качелях)	gůy bêx̌tṓw играть в поло; lāš bêx̌tṓw играть в чижа; půt bêx̌- tṓw играть в мяч; mišk bêx̌tṓw играть в кости, бабки; wulčāk bêx̌tṓw качаться на качелях	
bōz	boz,boxt,bezd,boxč,bextow			bōx̌t			bêzd	bōx̌č			bêx̌tṓw		посылать		
bōzí	bozi												верхняя часть руки, предплечье		
bōzí	bozi												игра, забава	gůy-bōzí игра в мяч, в поло; lōγ-bōzí шутки; wulčāk-bōzí качанье на качелях	
bōzí čīdṓw	bozi čidow												играть		
bōzí-kunák	bozikunak												игрушка		
bōzṓr	bozor												рынок, базар		
bōzōrí	bozori												скандальный, как базарная торговка	aǰáb bōzōrí γiðā-yat nāy! ну и скандальный же ты парень!	
bōγ	boγ												сад		
bōγbůní	boγbuni												охрана, окарауливание сада		
bōγčā́	boγča												садик, бахча, огород	bṓγ-at bōγčā́ сад с огородом	
bōγdṓr	boγdor												садовладелец, садовод		
bōγdōrí	boγdori												садоводство		
bōγdōrí čīdṓw	boγdori čidow												заниматься садоводством	māš bōγdōrí mis kinā́m мы занимаемся также садоводством	
brūwā́n	bruwan												вой, завывание		
brūwā́n čīdṓw	bruwan čidow												выть, завывать		ср. b(i)rūčá
būbū-gulák	bubugulak,bubugulik	būbū-gulík											детская игра		
bubūbā́k	bububak												удод		cp. abūbák
buč	buč												козел		
buč-kiγ̌ī́ǰ	bučkiγ̌ij												дверная перекладина при входе из сеней в жилище		
bučā́k	bučak												козленок (после одного года)		
bučākík	bučakik												козленочек		
bučča	bučča												призывной возглас для козлят		
bucwḗðǰ	bucweðj												выкидыш (о животных, о людях только пренебрежительно)		
bucwḗðǰ čīdṓw	bucweðj čidow												выкинуть	māš žōw bucwḗðǰ čūd наша корова выкинула	
bůd	bud												уток	tōr-at bůd основа и уток	
buhō	buho,buo	buō											цена	qimát-buō дорогой	
buhṓr	buhor,buor	buṓr											весна	buṓr-ǰēv весной, весенней порой; pis bu(h)ṓraθ ранней весной, в начале весны	
bukúl	bukul												теленок		
bukúl	bukul												теленок-бычок полутора-двух лет		
bulbúl	bulbul												соловей		
bulbulṓk	bulbulok,bulbulok žir	bulbulṓk žīr											камень, служащий для раздробления скорлупы орехов и размельчения семян		
buldṓq	buldoq,buydoq	būydṓq											холостой (неженатый)		
bullṓd-čīnt	bullod čint												рытье фундамента		
bulṓ	bulo,bullod,bullo,bulod	bullṓd, bullṓ, bulṓd											основание, фундамент		
būm	bum												сова		
bůmák	bumak												полочка в стене, куда кладется хлеб	mu nān as bůmák tīr-ti garðā́ murd dāk čūd моя мать достала мне с полочки хлеба	
bun	bun												дно, основание, низ, фундамент; корни, корневище	wi bún-ti на дно; wḗd-and tanā́-t bun ствол и корни ивы; wi draxt bún- and под тем деревом; kartuškā́ bún-i na wēðǰ картошка не уродилась (не развила клубней)	
bůn	bun												борода	žurn-bůn ōdám круглобородый, человек с окладистой бородой	
būn	bun												щепотка, горсть муки	sū́r-and-ēn būn mu ðōd на свадьбе в меня бросали мукой	
bun nêðdṓw	bun neðdow,bu neðdow	bu nêðdṓw											топить, пускать ко дну	wúz-um anǰū́vd wi xu, bún-um wi nêðd я схватил его и стал топить	
bun nīstṓw	bun nistow,bu nistow	bu nīstṓw											тонуть, идти ко дну, опускаться на дно		
bunā́	buna												дом, хозяйство; зажиточный, домовитый, состоятельный	Ōqtāylṓq-and-ēn fukakí sī- wu-du bunā́ в Октайлоке всего тридцать два дома; māš qišlṓq- and-ēn pīnʒ bunā atā digá-yēn nōtiwů́n в нашем селении пять зажиточных хозяйств, остальные маломощные	
bunagí	bunagi												домовитость, зажиточность; устройство, строительство	bunagíyi qišlṓq bilānd kinā́m повысим благоустройство нашей деревни; rix̌ēnǰên-at xuγ̌nůniyḗn-ēn yi-lāv tōyd ar Dōrwṓz bunagí часть рушанцев и шугнанцев переселились в Дарваз на постоянное жительство	
bůnín	bunin												бородатый		
bůnǰ	bunj												палочка (для подведения глаз)	bůnǰ-xaltā́ мешочек для хранения палочки для подведения глаз	
buq	buq,baq		baq										комок, холм, бугор, куча, груда; выпуклый, кочковатый, приземистый	wi pī́c-ard buq-buq růy ðōðγ̌ его лицо покрылось буграми; baq-nů́l wiðíč род мелкой птицы с шишковидным клювом	
buq čīdṓw	buq čidow												складывать в кучу		
buq γiðā́	buq γiða												приземистый парень		
buq-mīð	buqmið												горбатый		
búqaθ	buqaθ												все, целиком, полностью	a-rō, xarbuzā́-yi yu γiðā́ búqaθ xud! слушай, тот мальчишка съел всю дыню!	(=fúkaθ)
buqí	buqi												возвышенность, холмистость		
buqrí	buqri												лицевое покрывало	ya γ̌iník xu-pī́c-ard-i buqrí ðṓðǰ та женщина закрыла себе лицо покрывалом	 (= čax̌- bā́nd)
burbúr	burbur												звук, издаваемый лягушками	ar dam qůl ̌̌̌x̌irbīcḗn burbúr kinḗn в этом пруду лягушки поют	
burindā́	burinda												инструмент для разрезания железа		
burǰ	burj												стена	mu čīd burǰ ni- xúx̌č стена моего дома развалилась	
būrǰ	burj												небольшой камень, валун	cavṓr bū́rǰēc-ēn mu ðōðǰ бросили в меня четырьмя камнями	
burǰák	burjak												уголок	Lḗnin burǰák ленинский уголок	
burs	burs												щетка		
buryā́	burya												мясная мякоть	lápaθ γullā́ gūx̌t di bē sitxů́n vud, ík- wí-ta buryā́ lů́vēn если окажется очень большой кусок мяса без костей, то его называют „buryā́“	
burzást	burzast												нервная дрожь, мурашки по телу		
burzast čīdṓw	burzast čidow												испытывать нервную дрожь	mu pōð mūrʒēvák suðǰ xu šič burzást kix̌t я отсидел себе ногу, и теперь точно мурашки бегают	
būstů́n	bustun												сад		только в сочетании bōγ-at būstů́n
but	but												идол		
būt	but												башмак	burs murd dāk, xu būt pōγ̌ʒā́ kinúm дай мне щетку, я вычищу себе башмаки	
but-parást	butparast												идолопоклонник, язычник		
būtál	butal												бутылка		
butxůnā́	butxuna												церковь, языческий храм		
buxōrí	buxori												бухарский, бухарец		
bůy	buy												запах		
bůy čīdṓw	buy čidow												нюхать	bů́y-i wi ču обнюхал его	
bůy ðêdṓw	buy ðedow												вонять, дурно пахнуть		
bůy-wōx̌	buywox												благовонная трава (для курения)		
būydōqí	buydoqi												холостая жизнь, безбрачие		
bůyḗǰ	buyej												благовоние, воскуривание	bůyḗǰ ǰāt для благовония	
bůγ	buγ,buγd,buγd,buγj,buγdow			bůγd			bůγd	bůγǰ			bůγdṓw		мычать	sāw, čis, yā žōw bůγd; baγḗr maγ̌ʒů́nǰ sic сходи-ка посмотри, что это мычит та корова; наверное, она проголодалась	
būγ	buγ												пар		 (=tafáx̌)
būγ	buγ												полвьюка, тюк мануфактуры	wúz-um az Qōšqár ðu būγ kōlā́ vūd я привез из Кашгара два тюка мануфактуры	
buγrṓ	buγro												верблюд-самец		 (= nařxitúr)
buγúz	buγuz												беременная; жеребая (о лошади)		
buγʒ	buγʒ												ненависть		
ca	ca												если, если бы, хотя, когда, как, что	čīz as mu tilfí mu ba-yṓð ca rēðǰ (вот) то, что осталось у меня в памяти из моего детства; wúz-um ʒulík ca vud... когда я был мал…	(подчинительный союз)
ca	ca												несколько; только в сочетаниях c mḗθ-ga	yú-ta x̌ō ca mēθ-ga mīrt он, должно быть, через несколько дней умрет; ca mḗθ-ga yádum я приду через несколько дней; ca mḗθ-ga Pōmḗr sā́wum через несколько дней я поеду на Памир	(ср. cůnd)
ca	ca												что? как?	cá kinḗt? что вы делаете? cá nům? как звать?	
ca-rā́ng	carang												как? каким образом? как так? почему?		
ca-rāngā́ǰ	carangaj												какой? что за...?	tú-yat carāngā́ǰ ōdám! áčaθ na wizů́ni! что ты за человек! ничего-то не знаешь!	
ca-rāngín	carangin												какой? что за.. ? из чего (сделанный)?		
ca-rd	card,car	ca-r											почему? зачем?		
ca-waxt	cawaxt,ca waxtaki	ca waxtakí											когда? в какое время?		
ca-waxtakí?	cawaxtaki												когда именно? в какое время?		
čāčā čīdṓw	čača čidow												свистеть, заливаться, испускать трели (о соловье)		
čāčaā	čačaa												свист, трели (соловья)		
čagás	čagas												перекладина, горизонтально соединяющая два вбитых в землю кола и служащая или насестом для кур, или для сушки белья, или для других надобностей		
čak	čak,čakt,čakt,čakč,čiktow			čakt			čakt	čakč			čiktṓw		капать		
čak čīdṓw	čak čidow												запирать, останавливать воду	x̌ác-um as ziwṓrn čak čūd я остановил воду при ее выходе из магистрального канала	
čak ðêdṓw	čak ðedow												заставить верблюда опуститься на колени	dam x̌itúr čak ðāð! заставь этого верблюда опуститься!	
čak sittṓw	čak sittow												останавливаться (о воде)	čū́x̌t-i yidi, wi x̌ač čak sat увидел, что вода у него остановилась	
čakák	čakak												капель, капанье		
čakák čīdṓw	čakak čidow												капать		(= čiktṓw)
čakā́l	čakal												маленькое поле		
čakkā́	čakka												процеженное пахтанье	"ðůγ kinḗn ar qāp darūn xu, dað wam ðů́γ-and wam x̌áci čakt, atā digá rist, dað-ta wi čakkā́ lů́vēn пахтанье кладут в мешок, и его сок протекает, а другое остается, и это называют ""čakkā́"""	
čakků́n	čakkun,čakkunt			čakků́nt									капать, заставлять капать	falůníγ̌in pi yēl túx̌p-i čakků́nt такая-то женщина поставила сушиться сыр (крут)	
čaklást	čaklast												совершенно, полностью, целиком	yā žōw xu wōx̌ čaklást-i xūγ̌ǰ корова полностью съела свое сено	
čāl	čal												лужа, грязь	dam x̌ac tis mak yů́dard, fúkaθ-at čāl yů́dard čūd! не выливай здесь эту воду, ты целую лужу здесь сделал!	
čalák	čalak												ведро	wúz-um xu vórǰ-ard nur ðu čalák x̌ac ðōd сегодня я дал своей лошади два ведра воды; yā čalák bidí yō yam čalák? это ведро лучше или то?	ж.
